target,origin,forecast_date,horizon,weight_source,n_past_origins,w_sarimax,w_tbats_prophet,w_var,w_bilstm
unemployment,2024-01-01,2024-12-01,11,same_horizon_past_rmse,13,0.19459158626146633,0.19418903949327265,0.28774735348158803,0.323472020763673
unemployment,2024-01-01,2025-01-01,12,same_horizon_past_rmse,13,0.19485603890733053,0.19444212834278854,0.2746301686703429,0.336071664079538
unemployment,2024-02-01,2024-03-01,1,same_horizon_past_rmse,14,0.299049112368288,0.30017526098735325,0.28697599300397814,0.11379963364038076
unemployment,2024-02-01,2024-04-01,2,same_horizon_past_rmse,14,0.26456669541916583,0.26456717354882764,0.30841188300091654,0.16245424803108996
unemployment,2024-02-01,2024-05-01,3,same_horizon_past_rmse,14,0.24305659965125695,0.24219529623159441,0.33220770545352146,0.18254039866362717
unemployment,2024-02-01,2024-06-01,4,same_horizon_past_rmse,14,0.2270896921295504,0.2257852247789224,0.3480662731409625,0.19905880995056474
unemployment,2024-02-01,2024-07-01,5,same_horizon_past_rmse,14,0.21331719509597022,0.21236454357289,0.34857732468351316,0.22574093664762662
unemployment,2024-02-01,2024-08-01,6,same_horizon_past_rmse,14,0.20582574646092947,0.20518427144945872,0.3403600181186703,0.24862996397094156
unemployment,2024-02-01,2024-09-01,7,same_horizon_past_rmse,14,0.2026207017174703,0.20206734205465965,0.32555614213561945,0.2697558140922506
unemployment,2024-02-01,2024-10-01,8,same_horizon_past_rmse,14,0.197336466062449,0.19677083777345528,0.32279444204016094,0.28309825412393474
unemployment,2024-02-01,2024-11-01,9,same_horizon_past_rmse,14,0.1975200269108709,0.1969940482784877,0.30788116530073506,0.2976047595099063
unemployment,2024-02-01,2024-12-01,10,same_horizon_past_rmse,14,0.1998481143384188,0.19943029177001526,0.2938385306502236,0.3068830632413424
unemployment,2024-02-01,2025-01-01,11,same_horizon_past_rmse,14,0.1942156965390649,0.19384854060131107,0.28434683807947814,0.327588924780146
unemployment,2024-02-01,2025-02-01,12,same_horizon_past_rmse,14,0.19397684872945953,0.19359401170214413,0.2727523054258691,0.33967683414252725
unemployment,2024-03-01,2024-04-01,1,same_horizon_past_rmse,15,0.29139975362367176,0.2935462494203248,0.2963806658005585,0.11867333115544497
unemployment,2024-03-01,2024-05-01,2,same_horizon_past_rmse,15,0.2611780746274979,0.2611843362420738,0.31174407073224863,0.16589351839817945
unemployment,2024-03-01,2024-06-01,3,same_horizon_past_rmse,15,0.24056741404292087,0.239736248121232,0.3317687670671493,0.1879275707686978
unemployment,2024-03-01,2024-07-01,4,same_horizon_past_rmse,15,0.2238080505039253,0.22263198594056566,0.34540042977466057,0.20815953378084853
