origin,forecast_date,horizon,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,w_sarimax,w_tbats_prophet,w_var,w_bilstm,ensemble_pred,residual,rf_residual_pred,final_hybrid_pred,rf_model_used
2023-08-01,2024-05-01,9,1380700.0,1163398.9780958672,1163152.6826495202,1234715.7991514688,1108498.4348899052,0.1928764685408669,0.1923445197248721,0.2984733611436607,0.3163056505906002,1167272.4237665364,213427.5762334636,132179.75347879733,1299452.1772453338,rolling_rf
2023-08-01,2024-06-01,10,1423000.0,1163398.9780574385,1163152.6826495202,1236557.188148162,1105450.8126974567,0.1928260784670678,0.1924053667545124,0.2878748995776934,0.3268936552007261,1165469.1142955984,257530.88570440165,141052.1515801751,1306521.2658757735,rolling_rf
2023-08-01,2024-07-01,11,1422200.0,1163398.9780517388,1163152.6826495202,1232517.9640817917,1100953.1069768034,0.1887797358280137,0.1884374683800075,0.2700561398653315,0.3527266559266471,1159992.2500476644,262207.7499523356,145359.53360265368,1305351.7836503182,rolling_rf
2023-08-01,2024-08-01,12,1460100.0,1163398.9780508936,1163152.6826495202,1232903.4530188087,1095273.42677348,0.1799039300372585,0.1795914787414785,0.2528250024566471,0.3876795887646159,1154516.3288464746,305583.67115352536,151866.57801769112,1306382.9068641658,rolling_rf
2023-09-01,2023-10-01,1,1235900.0,1183893.5339985746,1184371.5770122027,1199238.7078230963,1131249.82771959,0.3103841315437466,0.3137214268814514,0.2685694100257455,0.1073250315490564,1182514.7631784636,53385.23682153644,86653.87527114477,1269168.6384496083,rolling_rf
2023-09-01,2023-11-01,2,1253300.0,1184263.2719141366,1184371.5770122027,1199948.6182480438,1144554.944900245,0.2791913996271318,0.2794533753030438,0.280809898780784,0.1605453262890404,1182323.152338883,70976.84766111709,90965.68543886635,1273288.8377777492,rolling_rf
2023-09-01,2023-12-01,3,1263300.0,1184318.0396719426,1184371.5770122027,1200232.6694000892,1159287.7155714603,0.2636913407268989,0.2627670663494241,0.2959388727569287,0.1776027201667482,1184596.4114569735,78703.58854302648,97164.19432051334,1281760.605777487,rolling_rf
2023-09-01,2024-01-01,4,1246400.0,1184326.150956118,1184371.5770122027,1220569.9664896205,1176128.104369716,0.2460787783318861,0.244693033507199,0.3166166317854423,0.1926115563754724,1194233.6226806063,52166.37731939368,98255.4300974416,1292489.052778048,rolling_rf
2023-09-01,2024-02-01,5,1300900.0,1184327.352236684,1184371.5770122027,1239467.6050744574,1194512.7239689894,0.22844862668351,0.2273534829559945,0.3301179955279031,0.2140798948325922,1204720.6799424216,96179.32005757838,108109.27023819975,1312829.9501806214,rolling_rf
2023-09-01,2024-03-01,6,1350400.0,1184327.5301456484,1184371.5770122027,1253863.8580482805,1216881.8605733002,0.2206182247638532,0.2200228493671887,0.3231756257718929,0.236183300097065,1214498.4569393992,135901.54306060076,135595.9622993926,1350094.4192387918,rolling_rf
2023-09-01,2024-04-01,7,1360600.0,1184327.5564938502,1184371.5770122027,1259111.427090158,1239214.4046398934,0.2140139245072669,0.2135435306871491,0.3193640536105305,0.2530784911950535,1222110.917564337,138489.0824356631,157021.64138421314,1379132.5589485501,rolling_rf
2023-09-01,2024-05-01,8,1380700.0,1184327.560396002,1184371.5770122027,1263923.5171638627,1261072.5842311636,0.2084570840357114,0.2079194732834529,0.3218129749112011,0.2618104677696344,1230044.3745353022,150655.62546469783,160585.29993656607,1390629.6744718682,rolling_rf
2023-09-01,2024-06-01,9,1423000.0,1184327.560973909,1184371.5770122027,1268548.982284194,1286305.2528979946,0.2061113714287895,0.2056000244392623,0.3167767144610946,0.2715118896708535,1238704.1516409542,184295.8483590458,186740.72637041655,1425444.8780113708,rolling_rf
2023-09-01,2024-07-01,10,1422200.0,1184327.5610594975,1184371.5770122027,1266844.8866520475,1317849.5959586564,0.2078621483623803,0.2074552650117857,0.3061798319973425,0.2785027546284914,1246788.087810445,175411.9121895549,184490.34223773316,1431278.4300481782,rolling_rf
2023-09-01,2024-08-01,11,1460100.0,1184327.5610721728,1184371.5770122027,1268238.1941713905,1355699.8816261245,0.2051697160280059,0.2048238749199311,0.2913702489664708,0.2986361600855921,1259963.6103998106,200136.3896001894,196858.42610658216,1456822.0365063928,rolling_rf
2023-09-01,2024-09-01,12,1435900.0,1184327.5610740494,1184371.5770122027,1268865.8549930246,1394908.1167328055,0.2030248331163404,0.2027015705025243,0.2817885589770711,0.3124850374040641,1273961.6800072433,161938.3199927567,205586.4634619156,1479548.143469159,rolling_rf
2023-10-01,2023-11-01,1,1253300.0,1244253.7000000984,1244508.8467665822,1237304.5175402986,1137618.7370044284,0.2953588304551994,0.2983702594816242,0.2924901766958467,0.1137807333673296,1230164.256309216,23135.74369078409,72199.21637627351,1302363.4726854893,rolling_rf
